delivery_id,delivery_partner,package_type,vehicle_type,delivery_mode,region,weather_condition,distance_km,package_weight_kg,delivery_time_hours,expected_time_hours,delayed,delivery_status,delivery_rating,delivery_cost,delivery_difference_hours
23,blue dart,automobile parts,scooter,same day,north,cold,214.1,40.85,6,8,no,delivered,5,1293.05,-2
24,ecom express,clothing,bike,standard,central,clear,251.7,34.9,8,24,no,delivered,4,1363.2,-16
25,amazon logistics,furniture,van,standard,east,foggy,214.9,5.67,7,24,no,delivered,5,1091.51,-17
26,shadowfax,documents,ev van,two day,north,stormy,115.4,0.67,6,16,no,delivered,4,578.59,-10
27,dhl,clothing,ev bike,express,east,foggy,293.8,41.03,9,7,yes,delayed,3,1632.7206,2
28,amazon logistics,cosmetics,scooter,standard,east,clear,286.8,46.67,8,24,no,delivered,3,1574.01,-16
29,fedex,furniture,truck,express,south,hot,136.1,48.1,3,4,no,delivered,5,874.8,-1
30,dhl,furniture,bike,two day,east,rainy,291.4,6.12,13,16,no,delivered,5,1475.36,-3
31,fedex,furniture,bike,standard,south,hot,295.0,19.68,9,24,no,delivered,5,1534.04,-15
32,ekart,cosmetics,truck,same day,central,rainy,223.3,6.29,10,8,yes,failed,1,1235.37,2
33,delhivery,automobile parts,scooter,express,south,hot,242.5,46.73,10,6,yes,failed,1,1402.69,4
34,fedex,furniture,ev bike,two day,central,rainy,35.1,22.72,8,16,no,delivered,5,243.66,-8
35,amazon logistics,clothing,bike,express,central,stormy,81.8,45.51,5,3,yes,delayed,2,595.53,2
36,delhivery,documents,bike,same day,east,clear,37.6,22.81,3,8,no,delivered,4,356.43,-5
37,amazon logistics,furniture,ev bike,express,north,rainy,46.8,4.72,5,2,yes,delayed,2,298.16,3
38,amazon logistics,electronics,scooter,same day,central,hot,233.4,18.0,5,8,no,delivered,5,1321.0,-3
39,ekart,documents,bike,standard,east,rainy,62.2,48.58,7,24,no,delivered,3,456.74,-17
40,shadowfax,clothing,ev bike,standard,south,foggy,114.0,43.85,6,24,no,delivered,4,701.55,-18
41,blue dart,automobile parts,ev bike,same day,north,foggy,131.5,25.79,6,8,no,delivered,5,834.87,-2
42,xpressbees,groceries,ev van,express,south,rainy,21.4,16.58,3,2,yes,delayed,3,206.74,1
43,xpressbees,fragile items,truck,standard,west,stormy,258.5,8.37,7,24,no,delivered,5,1317.61,-17
44,dhl,furniture,van,two day,east,rainy,253.9,7.07,9,16,no,delivered,3,1290.71,-7
45,delhivery,furniture,ev bike,same day,north,stormy,6.7,7.96,6,8,no,delivered,4,157.38,-2
46,ecom express,automobile parts,ev bike,standard,west,hot,178.1,26.7,5,24,no,delivered,4,970.6,-19
47,fedex,cosmetics,truck,standard,south,hot,180.0,35.04,4,24,no,delivered,3,1005.12,-20
48,ecom express,documents,scooter,two day,north,rainy,187.9,14.96,11,16,no,delivered,4,984.38,-5
49,xpressbees,documents,ev van,express,west,hot,78.3,49.22,4,3,yes,failed,1,589.16,1
50,amazon logistics,pharmacy,ev bike,express,west,hot,51.6,23.45,2,3,no,delivered,4,378.35,-1
51,xpressbees,electronics,ev van,same day,central,stormy,26.9,29.86,5,8,no,delivered,5,324.08,-3
52,blue dart,clothing,truck,express,north,hot,216.7,26.89,7,6,yes,delayed,2,1214.17,1
53,dhl,electronics,van,standard,south,foggy,148.2,38.6,5,24,no,delivered,4,856.8,-19
54,fedex,cosmetics,ev van,same day,south,clear,184.2,46.79,5,8,no,delivered,4,1161.37,-3
55,fedex,groceries,truck,same day,east,stormy,167.7,42.4,7,8,no,delivered,5,1065.7,-1
56,delhivery,electronics,ev bike,standard,central,cold,197.7,25.84,9,24,no,delivered,5,1066.02,-15
57,fedex,cosmetics,ev van,standard,north,foggy,211.9,46.94,7,24,no,delivered,5,1200.32,-17
58,blue dart,pharmacy,scooter,same day,west,stormy,64.3,21.05,6,8,no,delivered,5,484.65,-2
59,xpressbees,cosmetics,scooter,two day,east,hot,206.7,3.87,3,16,no,delivered,4,1045.11,-13
60,xpressbees,clothing,bike,two day,east,cold,83.5,6.81,3,16,no,delivered,5,437.93,-13
61,ecom express,fragile items,truck,same day,central,foggy,9.3,47.62,3,8,no,delivered,5,289.36,-5
62,xpressbees,clothing,ev bike,standard,west,rainy,245.9,47.01,12,24,no,delivered,3,1370.53,-12
63,dhl,pharmacy,ev van,express,north,stormy,225.7,45.7,8,6,yes,delayed,2,1315.6,2
64,ecom express,pharmacy,bike,express,east,hot,226.0,37.62,7,6,yes,delayed,2,1292.86,1
65,dhl,clothing,bike,two day,west,hot,113.3,34.03,4,16,no,delivered,5,668.59,-12
66,ekart,groceries,ev bike,standard,north,stormy,232.3,41.91,12,24,no,delivered,4,1287.23,-12
67,ecom express,electronics,scooter,express,east,cold,87.7,22.38,4,3,yes,failed,2,555.64,1
68,dhl,furniture,van,same day,east,rainy,90.1,27.46,6,8,no,delivered,4,632.88,-2
69,delhivery,cosmetics,bike,express,north,rainy,110.4,44.94,6,4,yes,delayed,2,736.82,2
70,fedex,documents,bike,same day,central,cold,217.3,3.03,6,8,no,delivered,5,1195.59,-2
71,amazon logistics,furniture,truck,standard,south,rainy,75.2,28.25,6,24,no,delivered,3,460.75,-18
72,blue dart,automobile parts,ev bike,two day,south,hot,23.2,19.18,2,16,no,delivered,5,173.54,-14
73,fedex,documents,ev van,express,north,rainy,78.5,27.87,8,3,yes,delayed,3,526.11,5
74,blue dart,documents,van,express,north,hot,138.3,47.87,8,4,yes,delayed,3,885.11,4
75,xpressbees,clothing,truck,two day,north,cold,96.4,39.33,3,16,no,delivered,4,599.99,-13
76,fedex,furniture,ev van,standard,west,cold,216.2,23.93,11,24,no,delivered,4,1152.79,-13
77,ekart,clothing,van,express,south,stormy,24.1,34.1,7,2,yes,delayed,3,272.8,5
78,ekart,fragile items,scooter,standard,east,rainy,197.1,28.23,13,24,no,delivered,4,1070.19,-11
79,shadowfax,documents,ev bike,same day,west,foggy,94.8,10.02,2,8,no,delivered,4,604.06,-6
80,xpressbees,pharmacy,bike,express,south,hot,56.0,22.91,3,3,yes,delayed,2,398.73,0
81,ecom express,clothing,scooter,same day,east,stormy,70.7,5.72,8,8,yes,delayed,3,470.66,0
82,dhl,documents,bike,same day,east,rainy,60.4,22.93,6,8,no,delivered,5,470.79,-2
83,blue dart,clothing,truck,same day,central,stormy,258.4,22.08,9,8,yes,failed,2,1458.24,1
84,amazon logistics,furniture,scooter,two day,central,cold,89.3,34.98,4,16,no,delivered,4,551.44,-12
85,shadowfax,electronics,van,two day,south,clear,244.0,13.62,7,16,no,delivered,4,1260.86,-9
86,xpressbees,electronics,truck,standard,south,stormy,87.8,19.77,8,24,no,delivered,4,498.31,-16
87,delhivery,furniture,scooter,same day,east,stormy,3.6,20.7,3,8,no,delivered,4,172.6,-5
88,ekart,furniture,van,two day,south,cold,3.6,8.75,0,16,no,delivered,3,95.6674,-16
89,xpressbees,documents,van,standard,east,rainy,111.0,36.68,9,24,no,delivered,4,665.04,-15
90,amazon logistics,groceries,bike,express,east,rainy,256.4,33.53,11,7,yes,delayed,3,1432.59,4
91,dhl,groceries,ev van,same day,east,foggy,177.9,20.16,7,8,no,delivered,5,1049.98,-1
92,amazon logistics,cosmetics,ev van,two day,east,rainy,204.2,8.09,9,16,no,delivered,4,1045.27,-7
93,amazon logistics,furniture,ev bike,standard,central,cold,125.0,39.41,4,24,no,delivered,5,743.23,-20
94,dhl,fragile items,bike,two day,north,hot,83.3,34.71,4,16,no,delivered,4,520.63,-12
95,ecom express,clothing,van,standard,west,foggy,193.2,33.28,7,24,no,delivered,4,1065.84,-17
96,ekart,clothing,van,two day,east,foggy,174.3,47.29,10,16,no,delivered,5,1013.37,-6
97,ekart,groceries,bike,same day,west,clear,11.4,40.22,1,8,no,delivered,5,277.66,-7
98,xpressbees,electronics,ev van,express,east,clear,166.4,44.96,6,5,yes,delayed,2,1016.88,1
99,shadowfax,cosmetics,van,standard,west,stormy,189.6,38.07,11,24,no,delivered,5,1062.21,-13
100,blue dart,groceries,truck,express,west,stormy,111.2,37.33,6,4,yes,delayed,2,717.99,2
101,amazon logistics,groceries,ev bike,same day,west,hot,103.2,37.97,4,8,no,delivered,5,729.91,-4
102,blue dart,furniture,scooter,standard,east,clear,236.4,47.28,9,24,no,delivered,4,1323.84,-15
103,amazon logistics,electronics,van,same day,central,clear,111.9,26.34,5,8,no,delivered,5,738.52,-3
104,delhivery,groceries,ev van,standard,south,stormy,86.6,20.64,8,24,no,delivered,5,494.92,-16
105,amazon logistics,automobile parts,ev bike,standard,west,clear,235.6,48.07,5,24,no,delivered,5,1322.21,-19
106,amazon logistics,pharmacy,truck,same day,south,cold,295.5,48.45,6,8,no,delivered,4,1632.7206,-2
107,amazon logistics,pharmacy,truck,two day,west,foggy,56.3,43.65,5,16,no,delivered,5,412.45,-11
108,shadowfax,furniture,bike,two day,central,stormy,114.2,28.82,6,16,no,delivered,5,657.46,-10
109,fedex,furniture,scooter,same day,north,hot,3.6,31.41,2,8,no,delivered,4,203.23,-6
110,xpressbees,automobile parts,bike,same day,west,stormy,146.2,22.55,9,8,yes,failed,2,898.65,1
111,ekart,automobile parts,ev bike,same day,east,clear,85.6,10.69,3,8,no,delivered,4,560.07,-5
112,amazon logistics,groceries,ev van,express,south,rainy,247.9,5.23,9,6,yes,failed,2,1305.19,3
113,shadowfax,automobile parts,bike,standard,south,foggy,274.8,0.82,9,24,no,delivered,4,1376.46,-15
114,fedex,electronics,scooter,standard,west,clear,35.7,10.8,3,24,no,delivered,3,210.9,-21
115,fedex,documents,van,express,central,stormy,259.3,27.01,8,7,yes,failed,1,1427.53,1
116,shadowfax,documents,ev bike,same day,south,clear,65.3,45.09,4,8,no,delivered,5,561.77,-4
117,delhivery,cosmetics,van,express,south,clear,93.1,20.89,2,3,no,delivered,3,578.17,-1
118,blue dart,pharmacy,bike,standard,central,hot,265.8,32.11,9,24,no,delivered,5,1425.33,-15
119,ekart,furniture,truck,two day,west,clear,110.2,23.24,4,16,no,delivered,4,620.72,-12
120,blue dart,documents,bike,standard,west,clear,6.0,0.88,1,24,no,delivered,4,95.6674,-23
121,dhl,furniture,truck,two day,east,foggy,16.5,21.49,2,16,no,delivered,4,146.97,-14
122,xpressbees,documents,ev van,standard,north,cold,102.0,18.67,4,24,no,delivered,4,566.01,-20
123,shadowfax,furniture,bike,express,north,rainy,265.4,15.96,13,7,yes,delayed,3,1424.88,6
124,fedex,groceries,ev van,two day,north,foggy,27.5,15.43,2,16,no,delivered,5,183.79,-14
125,amazon logistics,fragile items,truck,two day,south,hot,59.5,7.79,2,16,no,delivered,3,320.87,-14
126,shadowfax,cosmetics,bike,express,north,cold,290.2,29.26,6,7,no,delivered,4,1588.78,-1
127,delhivery,clothing,scooter,standard,east,rainy,124.0,40.2,8,24,no,delivered,4,740.6,-16
128,xpressbees,automobile parts,scooter,two day,north,clear,261.9,41.68,9,16,no,delivered,4,1434.54,-7
129,shadowfax,pharmacy,ev van,two day,central,rainy,115.6,13.57,8,16,no,delivered,5,618.71,-8
130,shadowfax,groceries,ev bike,express,east,hot,156.0,14.49,2,5,no,delivered,3,873.47,-3
131,shadowfax,furniture,van,standard,north,foggy,284.1,14.35,9,24,no,delivered,4,1463.55,-15
132,fedex,clothing,truck,same day,north,cold,287.0,8.21,10,8,yes,failed,1,1559.63,2
133,delhivery,electronics,van,two day,north,foggy,50.5,31.28,2,16,no,delivered,4,346.34,-14
134,shadowfax,groceries,van,two day,west,foggy,203.3,7.5,7,16,no,delivered,4,1039.0,-9
135,amazon logistics,fragile items,truck,same day,west,hot,127.8,20.03,2,8,no,delivered,3,799.09,-6
136,ekart,groceries,scooter,two day,east,cold,45.8,27.22,1,16,no,delivered,5,310.66,-15
137,shadowfax,groceries,ev bike,same day,west,hot,8.7,33.93,0,8,no,delivered,5,245.29,-8
138,delhivery,automobile parts,ev van,standard,north,rainy,152.8,48.37,6,24,no,delivered,4,909.11,-18
139,dhl,automobile parts,ev van,same day,south,rainy,29.0,40.89,5,8,no,delivered,4,367.67,-3
140,dhl,furniture,scooter,standard,north,clear,281.6,19.81,8,24,no,delivered,3,1467.43,-16
141,ecom express,electronics,van,same day,east,stormy,75.7,41.47,8,8,yes,delayed,2,602.91,0
142,blue dart,cosmetics,scooter,standard,north,cold,132.5,14.18,3,24,no,delivered,4,705.04,-21
143,ekart,cosmetics,truck,standard,west,rainy,218.2,34.0,10,24,no,delivered,5,1193.0,-14
144,dhl,automobile parts,scooter,express,east,rainy,152.8,10.46,8,5,yes,delayed,2,845.38,3
145,ecom express,automobile parts,van,same day,west,cold,113.8,21.95,4,8,no,delivered,3,734.85,-4
146,amazon logistics,pharmacy,bike,standard,east,clear,189.3,30.78,7,24,no,delivered,5,1038.84,-17
147,delhivery,electronics,truck,two day,north,rainy,60.1,40.63,5,16,no,delivered,3,422.39,-11
148,ekart,documents,truck,same day,south,foggy,147.7,46.57,6,8,no,delivered,4,978.21,-2
149,amazon logistics,cosmetics,truck,two day,north,cold,289.0,48.99,6,16,no,delivered,4,1591.97,-10
150,delhivery,pharmacy,van,express,north,cold,235.6,42.35,7,6,yes,delayed,3,1355.05,1
151,amazon logistics,groceries,ev bike,same day,central,cold,101.1,9.76,4,8,no,delivered,4,634.78,-4
152,ekart,groceries,truck,two day,central,cold,273.9,42.56,6,16,no,delivered,3,1497.18,-10
153,ecom express,cosmetics,scooter,standard,north,clear,262.6,29.36,4,24,no,delivered,4,1401.08,-20
154,ekart,groceries,van,two day,east,clear,82.2,18.81,2,16,no,delivered,3,467.43,-14
155,dhl,clothing,truck,same day,south,cold,280.3,15.29,7,8,no,delivered,4,1547.37,-1
156,shadowfax,automobile parts,bike,same day,east,foggy,146.1,36.12,8,8,yes,delayed,2,938.86,0
157,blue dart,groceries,van,same day,west,clear,279.9,21.63,12,8,yes,failed,2,1564.39,4
158,shadowfax,documents,ev van,same day,south,stormy,165.4,43.2,11,8,yes,delayed,2,1056.6,3
159,fedex,electronics,van,two day,central,cold,29.9,47.31,2,16,no,delivered,3,291.43,-14
160,amazon logistics,furniture,truck,standard,north,hot,42.6,44.55,1,24,no,delivered,4,346.65,-23
161,ecom express,automobile parts,ev bike,standard,east,foggy,149.9,23.31,10,24,no,delivered,4,819.43,-14
162,shadowfax,clothing,scooter,standard,west,rainy,8.4,44.16,4,24,no,delivered,4,174.48,-20
163,dhl,documents,ev bike,two day,east,hot,230.8,30.01,6,16,no,delivered,4,1244.03,-10
164,dhl,clothing,bike,express,west,clear,93.0,9.37,2,3,no,delivered,4,543.11,-1
165,dhl,electronics,van,two day,west,clear,10.4,4.59,1,16,no,delivered,4,95.6674,-15
166,amazon logistics,pharmacy,truck,two day,north,hot,194.9,2.42,4,16,no,delivered,4,981.76,-12
167,ekart,documents,scooter,express,west,rainy,182.1,2.26,11,5,yes,delayed,2,967.28,6
168,blue dart,cosmetics,ev bike,standard,south,clear,38.8,40.89,3,24,no,delivered,4,316.67,-21
169,dhl,groceries,bike,two day,north,cold,55.2,6.78,1,16,no,delivered,3,296.34,-15
170,delhivery,pharmacy,truck,express,east,stormy,223.3,44.36,12,6,yes,failed,1,1299.58,6
171,delhivery,electronics,truck,express,west,hot,46.2,14.83,2,2,no,delivered,5,325.49,0
172,delhivery,documents,ev bike,two day,south,hot,3.6,49.52,1,16,no,delivered,5,163.39,-15
173,xpressbees,groceries,scooter,express,north,hot,297.1,22.0,5,8,no,delivered,5,1615.5,-3
174,xpressbees,electronics,bike,express,central,hot,87.8,7.72,3,3,no,delivered,5,512.16,0
175,xpressbees,groceries,truck,express,central,hot,267.4,11.53,9,7,yes,delayed,2,1421.59,2
176,fedex,furniture,ev van,two day,east,stormy,124.8,10.84,10,16,no,delivered,4,656.52,-6
177,xpressbees,groceries,ev bike,express,south,clear,288.9,8.3,6,7,no,delivered,4,1519.4,-1
178,blue dart,furniture,scooter,two day,central,hot,129.5,39.84,4,16,no,delivered,4,767.02,-12
179,ecom express,fragile items,van,same day,south,foggy,225.0,7.32,11,8,yes,delayed,3,1246.96,3
180,fedex,cosmetics,scooter,standard,south,stormy,289.7,24.36,14,24,no,delivered,5,1521.58,-10
181,ecom express,electronics,ev bike,standard,south,rainy,85.4,41.07,7,24,no,delivered,4,550.21,-17
182,blue dart,pharmacy,truck,same day,east,hot,9.9,30.24,0,8,no,delivered,3,240.22,-8
183,fedex,automobile parts,van,standard,west,hot,135.1,37.59,4,24,no,delivered,5,788.27,-20
184,xpressbees,fragile items,bike,standard,south,stormy,228.6,5.64,9,24,no,delivered,4,1159.92,-15
185,fedex,documents,truck,express,north,rainy,169.6,41.44,9,5,yes,delayed,3,1022.32,4
186,fedex,fragile items,van,express,central,foggy,250.7,29.97,10,7,yes,failed,2,1393.41,3
187,blue dart,fragile items,bike,two day,north,rainy,80.7,0.67,7,16,no,delivered,4,404.76,-9
188,dhl,groceries,scooter,two day,east,stormy,21.3,41.19,7,16,no,delivered,3,230.07,-9
189,ekart,fragile items,ev bike,two day,north,clear,67.1,32.91,2,16,no,delivered,4,434.23,-14
190,ekart,pharmacy,ev bike,standard,west,foggy,69.4,0.99,5,24,no,delivered,3,349.97,-19
191,xpressbees,cosmetics,van,two day,south,cold,101.2,39.37,2,16,no,delivered,5,624.11,-14
192,shadowfax,cosmetics,ev bike,two day,north,rainy,94.2,49.37,5,16,no,delivered,4,619.11,-11
193,shadowfax,fragile items,ev bike,same day,north,foggy,71.0,32.56,5,8,no,delivered,3,552.68,-3
194,dhl,automobile parts,truck,two day,east,foggy,37.4,42.36,3,16,no,delivered,4,314.08,-13
195,ecom express,fragile items,scooter,two day,north,cold,157.0,43.03,3,16,no,delivered,4,914.09,-13
196,delhivery,groceries,van,same day,east,cold,213.7,49.52,5,8,no,delivered,5,1317.81,-3
197,dhl,pharmacy,ev bike,express,central,cold,272.6,12.84,8,7,yes,delayed,2,1451.52,1
198,blue dart,pharmacy,scooter,express,south,stormy,83.5,24.02,7,3,yes,delayed,2,539.56,4
199,dhl,fragile items,truck,express,central,foggy,198.5,20.1,4,5,no,delivered,5,1102.8,-1
200,ecom express,groceries,ev bike,express,west,hot,158.7,35.06,6,5,yes,failed,2,948.68,1
201,dhl,documents,truck,same day,north,clear,265.3,31.8,5,8,no,delivered,5,1521.9,-3
202,ecom express,cosmetics,truck,express,east,stormy,208.8,22.83,9,6,yes,delayed,2,1162.49,3
203,fedex,automobile parts,scooter,express,east,rainy,55.7,46.5,3,3,yes,failed,1,468.0,0
204,xpressbees,automobile parts,van,standard,east,foggy,80.6,45.16,4,24,no,delivered,3,538.48,-20
205,fedex,clothing,bike,same day,east,stormy,187.7,6.69,13,8,yes,delayed,3,1058.57,5
206,ekart,automobile parts,bike,standard,south,foggy,225.6,22.83,9,24,no,delivered,5,1196.49,-15
207,xpressbees,fragile items,truck,express,east,rainy,24.5,0.67,5,2,yes,delayed,2,174.12,3
208,ecom express,clothing,scooter,standard,west,rainy,194.3,29.51,6,24,no,delivered,4,1060.03,-18
209,ekart,electronics,van,express,central,foggy,52.0,43.18,6,3,yes,delayed,3,439.54,3
210,amazon logistics,clothing,van,same day,north,clear,282.9,31.33,8,8,yes,delayed,2,1608.49,0
211,ekart,automobile parts,van,same day,north,cold,289.2,16.14,9,8,yes,failed,1,1594.42,1
212,xpressbees,cosmetics,ev bike,standard,east,cold,257.9,45.92,5,24,no,delivered,3,1427.26,-19
213,amazon logistics,pharmacy,van,same day,east,hot,258.3,42.79,12,8,yes,delayed,2,1519.87,4
214,fedex,pharmacy,ev van,express,central,rainy,288.4,44.12,9,7,yes,delayed,2,1624.36,2
215,xpressbees,groceries,van,express,east,hot,86.5,37.04,3,3,no,delivered,4,593.62,0
216,ekart,automobile parts,ev van,same day,south,stormy,157.3,4.51,9,8,yes,delayed,2,900.03,1
217,delhivery,clothing,ev van,standard,central,rainy,41.0,29.25,6,24,no,delivered,5,292.75,-18
218,delhivery,documents,van,standard,central,foggy,137.4,27.87,7,24,no,delivered,3,770.61,-17
219,fedex,clothing,ev bike,standard,north,clear,32.3,46.58,1,24,no,delivered,4,301.24,-23
220,ecom express,fragile items,van,express,central,clear,207.8,40.12,6,6,yes,delayed,2,1209.36,0
221,blue dart,furniture,ev van,standard,south,foggy,23.6,12.4,3,24,no,delivered,4,155.2,-21
222,fedex,cosmetics,ev bike,standard,south,clear,258.0,37.92,8,24,no,delivered,4,1403.76,-16
223,xpressbees,automobile parts,van,same day,north,cold,255.6,18.93,7,8,no,delivered,5,1434.79,-1
224,blue dart,clothing,scooter,standard,north,cold,289.7,19.13,5,24,no,delivered,5,1505.89,-19
225,xpressbees,automobile parts,ev van,express,north,rainy,9.1,45.65,5,2,yes,delayed,3,232.45,3
226,ekart,clothing,truck,standard,west,foggy,245.8,4.19,5,24,no,delivered,5,1241.57,-19
227,amazon logistics,cosmetics,ev bike,two day,central,hot,88.6,8.67,3,16,no,delivered,3,469.01,-13
228,shadowfax,cosmetics,ev bike,standard,central,rainy,59.6,20.84,7,24,no,delivered,4,360.52,-17
229,fedex,fragile items,bike,express,east,hot,225.4,22.3,5,6,no,delivered,5,1243.9,-1
230,blue dart,clothing,scooter,express,south,clear,36.9,45.45,2,2,yes,delayed,3,370.85,0
231,fedex,automobile parts,ev van,same day,central,stormy,262.9,31.73,16,8,yes,delayed,2,1509.69,8
232,amazon logistics,fragile items,scooter,standard,central,clear,262.7,28.7,5,24,no,delivered,5,1399.6,-19
233,delhivery,electronics,ev van,two day,east,hot,167.2,35.91,7,16,no,delivered,3,943.73,-9
234,xpressbees,pharmacy,van,express,south,hot,127.4,3.49,3,4,no,delivered,3,697.47,-1
235,fedex,fragile items,ev van,standard,central,foggy,267.0,26.49,11,24,no,delivered,3,1414.47,-13
236,xpressbees,furniture,truck,same day,south,cold,214.0,34.34,7,8,no,delivered,4,1273.02,-1
237,shadowfax,groceries,bike,same day,east,stormy,10.6,42.68,5,8,no,delivered,5,281.04,-3
238,dhl,documents,scooter,same day,central,rainy,124.2,1.02,7,8,no,delivered,5,724.06,-1
239,ekart,furniture,ev van,two day,north,stormy,129.5,13.38,7,16,no,delivered,4,687.64,-9
240,shadowfax,automobile parts,scooter,express,south,foggy,257.0,10.83,7,7,yes,delayed,2,1367.49,0
241,blue dart,pharmacy,scooter,two day,south,hot,264.9,43.16,9,16,no,delivered,5,1453.98,-7
242,shadowfax,cosmetics,bike,two day,west,stormy,163.5,19.83,8,16,no,delivered,5,876.99,-8
243,delhivery,fragile items,truck,same day,north,hot,34.6,47.42,3,8,no,delivered,4,415.26,-5
244,shadowfax,fragile items,ev bike,two day,north,rainy,183.1,38.15,13,16,no,delivered,4,1029.95,-3
245,shadowfax,groceries,ev van,standard,south,clear,138.7,43.15,3,24,no,delivered,5,822.95,-21
246,delhivery,cosmetics,ev van,same day,south,foggy,127.5,41.92,6,8,no,delivered,5,863.26,-2
247,xpressbees,documents,ev van,standard,west,clear,295.3,8.06,10,24,no,delivered,4,1500.68,-14
248,dhl,pharmacy,ev van,express,central,foggy,297.1,2.64,12,7,yes,delayed,3,1551.92,5
249,amazon logistics,documents,truck,same day,east,foggy,123.5,29.37,8,8,yes,delayed,2,805.61,0
250,delhivery,automobile parts,ev bike,standard,south,stormy,280.4,3.78,11,24,no,delivered,4,1413.34,-13
251,blue dart,cosmetics,truck,express,west,hot,74.1,28.64,3,3,yes,failed,1,506.42,0
252,fedex,pharmacy,bike,express,west,cold,58.9,11.97,2,3,no,delivered,3,380.41,-1
253,blue dart,furniture,bike,standard,north,clear,197.4,47.42,8,24,no,delivered,5,1129.26,-16
254,ekart,furniture,bike,same day,central,foggy,150.6,22.4,7,8,no,delivered,4,920.2,-1
255,shadowfax,fragile items,van,two day,east,hot,224.0,31.45,4,16,no,delivered,3,1214.35,-12
256,blue dart,documents,van,two day,west,rainy,33.9,29.91,4,16,no,delivered,5,259.23,-12
257,xpressbees,fragile items,truck,two day,north,cold,145.2,46.17,5,16,no,delivered,3,864.51,-11
258,delhivery,documents,truck,two day,central,stormy,204.9,41.15,9,16,no,delivered,4,1147.95,-7
259,blue dart,clothing,van,standard,central,foggy,150.8,39.64,6,24,no,delivered,3,872.92,-18
260,shadowfax,cosmetics,ev bike,standard,central,clear,86.6,16.17,3,24,no,delivered,5,481.51,-21
261,amazon logistics,cosmetics,ev van,standard,east,stormy,150.7,17.56,8,24,no,delivered,4,806.18,-16
262,blue dart,groceries,scooter,two day,north,clear,176.0,18.92,5,16,no,delivered,4,936.76,-11
263,ekart,pharmacy,scooter,standard,east,rainy,165.6,18.69,7,24,no,delivered,3,884.07,-17
264,ecom express,cosmetics,ev van,two day,west,foggy,170.2,44.12,5,16,no,delivered,5,983.36,-11
265,ecom express,fragile items,ev van,express,east,clear,133.4,24.33,4,4,yes,failed,2,789.99,0
266,shadowfax,automobile parts,scooter,same day,east,clear,100.0,33.34,4,8,no,delivered,3,700.02,-4
267,fedex,fragile items,truck,two day,south,cold,22.1,11.47,1,16,no,delivered,5,144.91,-15
268,dhl,groceries,truck,two day,west,foggy,14.9,49.35,4,16,no,delivered,3,222.55,-12
269,shadowfax,documents,truck,standard,east,clear,160.6,48.08,6,24,no,delivered,4,947.24,-18
270,shadowfax,electronics,ev van,express,west,rainy,257.8,30.28,7,7,yes,failed,1,1429.84,0
